funding_round_type,raised_amount_usd,Total,Fraction,Average_Investment
angel,4659.255123000003,990125.0851350001,0.004705723744353704,0.9586944697530869
convertible_note,2103.1255719999995,990125.0851350001,0.002124100887428022,1.4534385431928123
debt_financing,113884.84088600009,990125.0851350001,0.1150206601123254,17.043526023047004
equity_crowdfunding,661.1161629999997,990125.0851350001,0.0006677097398354056,0.5383682109120519
grant,9134.424145000006,990125.0851350001,0.00922552542313839,4.300576339453864
non_equity_assistance,30.01782299999998,990125.0851350001,3.0317202796560955e-05,0.41120305479452024
post_ipo_debt,25643.094916999995,990125.0851350001,0.02589884379457334,168.7045718223684
post_ipo_equity,51610.60615099998,990125.0851350001,0.052125339440281984,82.18249387101908
private_equity,141925.4361050001,990125.0851350001,0.1433409154416576,73.30859302944219
product_crowdfunding,526.1685929999999,990125.0851350001,0.0005314162835580099,1.3631310699481862
secondary_market,2389.4889030000004,990125.0851350001,0.002413320234861237,79.64963010000001
seed,16989.864181000477,990125.0851350001,0.017159310915432435,0.7198179969071931
undisclosed,30441.42969699996,990125.0851350001,0.03074503429316648,19.24237022566369
venture,590126.2168759931,990125.0851350001,0.5960117824865849,11.74894912948939
